nombre;NDiputados;Vcontabilizados;VAbstenciones;VNulos;VBlanco;AJU;AVANT;CCaPNC;CCD;CENTROMODERADO;CILUS;CRA;Cs;DL;DN;EB;EHBildu;ELPI;ENPOSITIU;ERCCATSI;EUEX;EZKERRA;FDEE;FEdelasJONS;GBAI;IFem;IndependientesFIA;LIBERTATENAFARRA;Ln;MAS;MES;mlgXSI;NOS;OE;PACMA;PAISVALENCIA;PARTICIPACION;PCOE;PCPE;PFyV;PH;PLD;PLIB;PNV;PODEMOS;PP;PREPAL;PSOE;PT;PUMMJ;RECORTESCERO;SAIn;SOLUCIONA;SOMVAL;UDPYAR;UPeC;uniocat;UPYD;VOX;XLAIZQLV
Andalucía;64;4483961;1801388;42304;37676;771;0;0;0;0;1188;0;611772;0;351;626;0;0;0;0;0;0;0;1822;0;0;0;0;0;0;0;924;0;0;40695;0;0;1906;5330;0;0;0;1367;0;749081;1292652;0;1400399;0;613;5693;197;406;0;0;256080;0;23134;8974;0
Aragón;10;737486;249661;6121;6773;0;0;0;0;0;0;0;125903;0;0;3851;0;0;0;0;0;0;0;0;0;0;673;0;0;0;0;0;0;0;5202;0;0;0;1231;0;0;0;0;0;135763;229196;0;168635;0;0;1462;0;0;0;0;45046;0;5791;1839;0
Asturias;9;623937;252233;5131;5553;0;0;0;0;0;0;0;83885;0;0;1861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4482;0;0;0;1229;0;386;0;0;0;132007;186586;0;144017;0;0;1008;0;0;0;0;52316;0;3792;1684;0
Canarias;15;1005508;525979;12890;7260;0;0;81750;0;0;0;0;113398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11874;0;0;0;1711;0;438;0;0;0;231063;283312;0;218241;0;611;2648;299;0;0;2874;30933;0;4666;1540;0
Cantabria;5;352691;111387;3885;2843;0;0;0;0;0;0;0;53182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2924;0;0;0;458;0;235;0;0;0;62219;128852;0;78217;0;0;522;171;0;0;0;15428;0;2860;895;0
Castilla y León;20;1519044;481236;16790;14191;0;0;0;1570;0;0;1027;230791;0;691;180;0;0;0;0;0;0;0;1081;0;340;0;0;0;0;0;0;0;0;8379;0;0;0;2213;0;0;0;0;0;225824;588194;1363;337704;0;0;2479;838;0;0;0;68464;0;12910;4015;0
Castilla-La Mancha;16;1181392;363144;13552;8237;0;0;0;0;0;0;0;160717;0;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8219;0;0;0;646;0;0;204;0;0;159079;445776;0;331388;0;0;1743;75;0;0;0;41852;0;6136;3594;0
Cataluña;53;3774327;1543242;23114;25433;0;0;0;0;0;0;0;489503;565501;0;618;0;0;0;599289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43800;0;0;0;6967;0;0;0;0;0;927940;417286;0;589021;0;0;12741;0;0;0;0;0;64726;7897;491;0
Ceuta;1;33432;25781;497;420;0;0;0;0;0;0;0;4378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356;0;0;0;0;0;0;0;0;0;4630;14786;0;7599;0;0;144;0;0;0;0;428;0;194;0;0
Comunidad de Madrid;46;3621374;1036160;23310;18724;0;0;0;0;0;0;0;676389;0;0;0;0;0;0;0;0;0;0;4688;0;0;0;0;0;0;0;0;0;0;28302;0;0;0;1730;0;1848;0;1053;0;750477;1203837;0;643158;0;2832;4009;1229;0;0;0;189237;0;43103;22441;5007
