nombre,Ndiputados,Vcontabilizados,VAbstenciones,VNulos,VBlanco,AJU,AVANT,CCaPNC,CCD,CENTROMODERADO,CILUS,CRA,Cs,DL,DN,EB,EHBildu,ELPI,ENPOSITIU,ERCCATSI,EUEX,EZKERRA,FDEE,FEdelasJONS,GBAI,IFem,IndependientesFIA,LIBERTATENAFARRA,Ln,MAS,MES,mlgXSI,NOS,OE,PACMA,PAISVALENCIA,PARTICIPACION,PCOE,PCPE,PFyV,PH,PLD,PLIB,PNV,PODEMOS,PP,PREPAL,PSOE,PT,PUMMJ,RECORTESCERO,SAIn,SOLUCIONA,SOMVAL,UDPYAR,UPeC,uniocat,UPYD,VOX,XLAIZQLV
Álava,4,180499,67954,1766,1290,0,0,0,0,0,0,0,10468,0,0,470,21179,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,110,1380,0,0,0,175,0,0,0,0,28297,48265,33609,0,25293,0,0,558,0,0,0,0,6794,0,764,0,0
Albacete,4,233371,70717,2301,1725,0,0,0,0,0,0,0,33676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,0,0,0,246,0,0,204,0,0,32155,85152,0,65074,0,0,305,0,0,0,0,9277,0,1145,538,0
Alicante,12,911086,308915,7894,5291,0,0,0,0,3254,0,0,154037,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,8232,606,0,0,1731,0,0,0,410,0,200885,296709,0,188367,0,0,1751,0,0,397,0,33293,0,5552,2223,0
Almería,6,311059,141531,2410,2204,0,0,0,0,0,0,0,44320,0,159,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,2092,0,0,0,314,0,0,0,0,0,39482,117407,0,89022,0,172,296,0,0,0,0,10776,0,1522,543,0
Asturias,8,623937,252233,5131,5553,0,0,0,0,0,0,0,83885,0,0,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4482,0,0,0,1229,0,386,0,0,0,132007,186586,0,144017,0,0,1008,0,0,0,0,52316,0,3792,1684,0
Ávila,3,102801,29770,1232,742,0,0,0,0,0,0,0,15892,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,11863,46963,0,20129,0,0,124,0,0,0,0,3878,0,904,329,0
Badajoz,6,403946,144747,5222,3112,0,0,0,0,0,0,0,45252,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,0,0,0,0,0,0,0,0,0,47203,137501,0,148347,0,0,505,0,0,0,0,12281,0,1539,0,0
Barcelona,31,2864960,1109443,14996,18126,0,0,0,0,0,0,0,386143,377563,0,0,0,0,0,412540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34270,0,0,0,5363,0,0,0,0,0,766889,321268,0,463612,0,0,10588,0,0,0,0,0,47743,5859,0,0
Burgos,4,217008,67907,2244,2032,0,0,0,0,0,0,0,33373,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,1420,0,0,0,504,0,0,0,0,0,36612,81780,0,44488,0,0,447,497,0,0,0,10099,0,2259,913,0
Cáceres,4,251602,84233,3412,1556,0,0,0,0,0,0,0,28293,0,0,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,0,0,0,0,0,0,0,0,0,34552,87729,0,84532,0,0,334,0,0,0,0,7216,0,1071,511,0
